date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:08	2601/2601	---MCZ	200	added ('OK')	text/html	etag:%2286cecce79160fbfdd9d757d0a3ad98cd88b17721%22	https://performair.com/	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/index.html	(from )
13:01:08	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2014%20Apr%202026%2020:01:11%20GMT	https://performair.webflow.io/	C:/Users/lvlup/Documents/Httracksites/preformair/performair.webflow.io/index.html	(from )
13:01:08	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2014%20Apr%202026%2020:01:10%20GMT	https://performair.webflow.io/robots.txt		(from )
13:01:09	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2014%20Apr%202026%2020:01:11%20GMT	https://performair.webflow.io/	C:/Users/lvlup/Documents/Httracksites/preformair/performair.webflow.io/index.html	(from )
13:01:09	67/67	---M--	200	added ('OK')	text/plain	etag:%2221e1553c3e4b53191bc863948f04386d678f57bc%22	https://performair.com/robots.txt		(from )
13:01:09	16958/16958	---MCZ	200	added ('OK')	image/x-icon	etag:%228a2af2350996806476666eb0778b409e580ecbc1%22	https://performair.com/favicon.ico	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/favicon.ico	(from https://performair.com/)
13:01:10	304/304	---M--	200	added ('OK')	application/json	etag:%2280209b1f63bc19cae637f18b6ed07c7ba6512702%22	https://performair.com/manifest.json	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/manifest.json	(from https://performair.com/)
13:01:11	58948/58948	---MCZ	200	added ('OK')	text/css	etag:%221b6a2307131d28e9f96caa621d0b250b673f8fd4%22	https://performair.com/static/css/2.bb5ee24c.chunk.css	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/css/2.bb5ee24c.chunk.css	(from https://performair.com/)
13:01:11	161666/161666	---MCZ	200	added ('OK')	text/css	etag:%222653848a18325bff64b32ec280168780704096e2%22	https://performair.com/static/css/main.93273fc2.chunk.css	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/css/main.93273fc2.chunk.css	(from https://performair.com/)
13:01:12	1008300/1008300	---MCZ	200	added ('OK')	application/javascript	etag:%226dc789978dad038ba35d8b397acadaab9367688d%22	https://performair.com/static/js/2.85ade758.chunk.js	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/js/2.85ade758.chunk.js	(from https://performair.com/)
13:01:15	64357/64357	---MCZ	200	added ('OK')	application/javascript	etag:%225bd1dcd170dd478897de951de3d8dc606ca57663%22	https://performair.com/static/js/main.2c46e4db.chunk.js	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/js/main.2c46e4db.chunk.js	(from https://performair.com/)
13:01:15	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%22073959ada9c836fa35e05d597dbb012f7e69c56a%22	https://performair.com/static/media/fa-brands-400.57dcda6f.eot	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.57dcda6f.eot	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:15	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2014%20Apr%202026%2020:01:18%20GMT	https://performair.webflow.io/	C:/Users/lvlup/Documents/Httracksites/preformair/performair.webflow.io/index.html	(from )
13:01:16	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%22073959ada9c836fa35e05d597dbb012f7e69c56a%22	https://performair.com/static/media/fa-brands-400.57dcda6f.eot?	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.57dcda6fd41d.eot	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:16	76548/76548	---M--	200	added ('OK')	font/woff2	etag:%22dae581e1844f1e9872be7a1ef6e737bcb8c9a447%22	https://performair.com/static/media/fa-brands-400.067595ad.woff2	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.067595ad.woff2	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:16	89824/89824	---M--	200	added ('OK')	application/font-woff	etag:%22c526260f6ae0edfe7caf0e9dbf8041aa244b9050%22	https://performair.com/static/media/fa-brands-400.b564da88.woff	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.b564da88.woff	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:17	132728/132728	---MCZ	200	added ('OK')	font/ttf	etag:%22529f180e78d49a467c5715121804d09995f86c28%22	https://performair.com/static/media/fa-brands-400.9ec698d1.ttf	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.9ec698d1.ttf	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:17	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:%221d7ef9a1b2e3feadc3d7f09e9444ae6d7562db95%22	https://performair.com/static/media/fa-brands-400.9d67fa14.svg	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-brands-400.9d67fa14.svg	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:17	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2298395755d5ac41cdbec36b76e31736ce14b6ff0c%22	https://performair.com/static/media/fa-regular-400.3351f435.eot	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-regular-400.3351f435.eot	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:18	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%2298395755d5ac41cdbec36b76e31736ce14b6ff0c%22	https://performair.com/static/media/fa-regular-400.3351f435.eot?	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-regular-400.3351f435d41d.eot	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:18	13600/13600	---M--	200	added ('OK')	font/woff2	etag:%225d8f2f35e291a4cd5919cbe41483a44053503845%22	https://performair.com/static/media/fa-regular-400.4165c268.woff2	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-regular-400.4165c268.woff2	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:18	16800/16800	---M--	200	added ('OK')	application/font-woff	etag:%22bf2405e36284d97ae4f4e257b2241d56a6e64c98%22	https://performair.com/static/media/fa-regular-400.73cf49a2.woff	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-regular-400.73cf49a2.woff	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
13:01:19	34092/34092	---MCZ	200	added ('OK')	font/ttf	etag:%220eb4d87237773467bdd0e66abe1448af6cad2f4f%22	https://performair.com/static/media/fa-regular-400.a0e3ac82.ttf	C:/Users/lvlup/Documents/Httracksites/preformair/performair.com/static/media/fa-regular-400.a0e3ac82.ttf	(from https://performair.com/static/css/2.bb5ee24c.chunk.css)
